epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.4438,1.93296,2.92874,0.96458,0.48434,0.41631,0.49557,0.213,1.86069,2.04335,0.95183,0.000474054,0.000474054,0.000474054
2,152.765,1.66688,1.49954,0.89928,0.58975,0.69062,0.58804,0.24791,1.89251,1.50932,0.98235,0.000944115,0.000944115,0.000944115
3,173.023,1.57476,1.13959,0.89127,0.59922,0.4925,0.51062,0.23027,1.95394,2.0006,0.98282,0.00140789,0.00140789,0.00140789
4,193.083,1.48455,0.95591,0.87916,0.60032,0.56525,0.56882,0.24682,1.88804,1.44738,0.95085,0.00140071,0.00140071,0.00140071
5,213.264,1.48221,0.88798,0.87155,0.61281,0.64045,0.66133,0.31212,1.77211,1.2909,0.93137,0.00139127,0.00139127,0.00139127
6,233.562,1.41227,0.83061,0.86332,0.64796,0.58004,0.65501,0.32455,1.66758,1.18108,0.90707,0.00138184,0.00138184,0.00138184
7,253.91,1.37274,0.78867,0.85719,0.66085,0.57196,0.61793,0.30094,1.74697,1.34418,0.92472,0.00137241,0.00137241,0.00137241
8,274.366,1.35625,0.76141,0.85865,0.67265,0.60069,0.6599,0.32542,1.76569,1.4164,0.92982,0.00136298,0.00136298,0.00136298
9,294.694,1.33191,0.74911,0.84977,0.61304,0.69253,0.63475,0.32301,1.69069,1.18026,0.91014,0.00135355,0.00135355,0.00135355
10,315.096,1.29849,0.73206,0.84549,0.60438,0.66364,0.6229,0.30285,1.72528,1.24092,0.91516,0.00134412,0.00134412,0.00134412
11,335.685,1.29039,0.71258,0.84322,0.67824,0.74636,0.76287,0.41737,1.49184,1.04982,0.88124,0.00133469,0.00133469,0.00133469
12,356.169,1.29157,0.70957,0.84621,0.70954,0.65529,0.7258,0.35931,1.68645,1.09177,0.9108,0.00132525,0.00132525,0.00132525
13,376.534,1.26192,0.69033,0.84601,0.67203,0.63616,0.67329,0.3533,1.5819,1.24162,0.8993,0.00131582,0.00131582,0.00131582
14,396.986,1.2532,0.67416,0.84123,0.55386,0.54887,0.5587,0.2598,1.80122,1.67228,0.91756,0.00130639,0.00130639,0.00130639
15,417.272,1.24463,0.66072,0.83858,0.78299,0.54047,0.64844,0.32592,1.75711,1.84944,0.94049,0.00129696,0.00129696,0.00129696
16,437.503,1.21888,0.6437,0.83442,0.59705,0.59004,0.59337,0.29779,1.74972,1.65722,0.92386,0.00128753,0.00128753,0.00128753
17,458.082,1.21447,0.64804,0.83736,0.82975,0.64505,0.77011,0.39175,1.62446,1.32466,0.89401,0.0012781,0.0012781,0.0012781
18,478.277,1.19767,0.6357,0.83579,0.67196,0.62256,0.65616,0.33949,1.6392,1.24693,0.89894,0.00126867,0.00126867,0.00126867
19,498.98,1.19401,0.62144,0.8363,0.72474,0.60393,0.65724,0.33439,1.67616,1.2222,0.90798,0.00125923,0.00125923,0.00125923
20,519.353,1.18196,0.6193,0.833,0.80682,0.62148,0.73071,0.3937,1.55959,1.22174,0.89219,0.0012498,0.0012498,0.0012498
21,539.634,1.1787,0.62417,0.83302,0.82753,0.59789,0.73939,0.3883,1.57332,1.37321,0.89584,0.00124037,0.00124037,0.00124037
22,560.166,1.17726,0.6154,0.83478,0.72528,0.61816,0.71792,0.36397,1.64111,1.1952,0.89564,0.00123094,0.00123094,0.00123094
23,580.794,1.16009,0.59995,0.82926,0.77627,0.64852,0.732,0.38076,1.59513,1.43309,0.89114,0.00122151,0.00122151,0.00122151
24,601.164,1.17677,0.61953,0.83358,0.78868,0.66925,0.76339,0.38124,1.68198,1.42985,0.90505,0.00121208,0.00121208,0.00121208
25,622.32,1.15147,0.59819,0.82891,0.78724,0.58163,0.65888,0.32481,1.752,1.49502,0.92593,0.00120265,0.00120265,0.00120265
26,643.027,1.15761,0.58752,0.83251,0.72559,0.59323,0.65183,0.3265,1.75949,1.72623,0.93893,0.00119322,0.00119322,0.00119322
27,663.747,1.13623,0.57807,0.82773,0.71496,0.68371,0.71752,0.38626,1.5815,1.44251,0.89291,0.00118378,0.00118378,0.00118378
28,684.669,1.144,0.57645,0.83018,0.74931,0.54369,0.60407,0.30765,1.69175,1.94914,0.9188,0.00117435,0.00117435,0.00117435
29,705.542,1.13682,0.5825,0.82687,0.77626,0.66573,0.7579,0.41518,1.53426,1.22262,0.8867,0.00116492,0.00116492,0.00116492
30,726.691,1.12298,0.57305,0.82508,0.76731,0.60119,0.68363,0.34221,1.70891,1.42138,0.90459,0.00115549,0.00115549,0.00115549
31,747.951,1.11913,0.57344,0.82601,0.79812,0.59262,0.67652,0.35805,1.59486,1.50317,0.89608,0.00114606,0.00114606,0.00114606
32,769.349,1.12333,0.56968,0.82253,0.71817,0.5613,0.62893,0.31369,1.65662,1.33658,0.90269,0.00113663,0.00113663,0.00113663
33,790.479,1.11584,0.5674,0.82458,0.65187,0.6772,0.68447,0.35204,1.59665,1.492,0.88951,0.0011272,0.0011272,0.0011272
34,811.877,1.09856,0.5617,0.82325,0.83228,0.55363,0.63246,0.32439,1.60172,1.53992,0.89896,0.00111776,0.00111776,0.00111776
35,833.175,1.12562,0.56938,0.8239,0.73943,0.60331,0.69553,0.36631,1.53313,1.37903,0.88294,0.00110833,0.00110833,0.00110833
36,854.722,1.0867,0.54599,0.82357,0.66491,0.56856,0.63366,0.34108,1.57383,1.61234,0.88005,0.0010989,0.0010989,0.0010989
37,876.646,1.09993,0.551,0.82513,0.68662,0.7287,0.75728,0.39841,1.5471,1.36146,0.87903,0.00108947,0.00108947,0.00108947
38,898.13,1.09702,0.55207,0.82657,0.65529,0.62267,0.60877,0.31255,1.80871,1.89957,0.91653,0.00108004,0.00108004,0.00108004
39,919.662,1.08371,0.54067,0.82719,0.58006,0.60406,0.61472,0.30295,1.71293,1.57656,0.91235,0.00107061,0.00107061,0.00107061
40,941.345,1.08184,0.53752,0.82247,0.72486,0.5906,0.69811,0.34511,1.6206,1.31652,0.89424,0.00106118,0.00106118,0.00106118
41,962.722,1.07862,0.53493,0.82279,0.69905,0.54309,0.61954,0.32641,1.60702,1.54661,0.89348,0.00105174,0.00105174,0.00105174
42,984.183,1.06629,0.53626,0.81929,0.67832,0.6557,0.68689,0.36594,1.60374,1.49648,0.89183,0.00104231,0.00104231,0.00104231
43,1005.8,1.06681,0.52667,0.82074,0.69259,0.59968,0.60373,0.30334,1.63446,1.87087,0.89599,0.00103288,0.00103288,0.00103288
44,1027.49,1.07026,0.5295,0.82056,0.84451,0.74091,0.80122,0.40098,1.6606,1.30191,0.91024,0.00102345,0.00102345,0.00102345
45,1049.14,1.07262,0.53597,0.81939,0.63796,0.60064,0.59828,0.30972,1.57447,1.51696,0.88568,0.00101402,0.00101402,0.00101402
46,1070.82,1.06329,0.53192,0.81844,0.83917,0.56689,0.67873,0.34301,1.67338,1.65838,0.90065,0.00100459,0.00100459,0.00100459
47,1092.42,1.06156,0.5214,0.82263,0.68695,0.61319,0.60277,0.30743,1.58764,1.57288,0.88737,0.000995156,0.000995156,0.000995156
48,1113.88,1.04112,0.51569,0.82054,0.77663,0.57611,0.64527,0.3194,1.67364,1.54603,0.89664,0.000985724,0.000985724,0.000985724
49,1135.44,1.05612,0.5218,0.8193,0.66106,0.62408,0.63266,0.32289,1.68857,1.73576,0.90598,0.000976293,0.000976293,0.000976293
50,1157.01,1.05644,0.5203,0.81985,0.75088,0.57651,0.63645,0.34381,1.56066,1.78275,0.89027,0.000966861,0.000966861,0.000966861
51,1178.73,1.04295,0.50729,0.82174,0.66322,0.67776,0.66339,0.3533,1.55725,1.51701,0.88748,0.00095743,0.00095743,0.00095743
52,1200.28,1.03761,0.50746,0.81827,0.71475,0.55997,0.64065,0.34544,1.51677,1.66222,0.88008,0.000947999,0.000947999,0.000947999
53,1222.28,1.04153,0.51789,0.81927,0.66302,0.5967,0.62456,0.33615,1.55832,1.70809,0.88863,0.000938567,0.000938567,0.000938567
54,1243.8,1.03785,0.50707,0.81999,0.67269,0.61272,0.68728,0.36137,1.5728,1.41274,0.89513,0.000929136,0.000929136,0.000929136
55,1265.31,1.04043,0.51015,0.81998,0.68532,0.5872,0.61708,0.33392,1.52849,1.53082,0.8797,0.000919704,0.000919704,0.000919704
56,1287.04,1.03148,0.5015,0.81595,0.61658,0.74495,0.69569,0.37031,1.48799,1.34619,0.8778,0.000910273,0.000910273,0.000910273
57,1308.67,1.01858,0.50353,0.81487,0.63909,0.59197,0.60665,0.31855,1.57116,1.76822,0.88917,0.000900842,0.000900842,0.000900842
58,1330.05,1.04323,0.50412,0.8175,0.69591,0.57232,0.60525,0.33359,1.60256,1.79695,0.90043,0.00089141,0.00089141,0.00089141
59,1351.45,1.02976,0.49779,0.81616,0.73379,0.62891,0.68722,0.36458,1.56606,1.4538,0.8897,0.000881979,0.000881979,0.000881979
60,1373.39,1.02633,0.49728,0.81486,0.80238,0.60121,0.67245,0.3584,1.61923,1.65768,0.90474,0.000872547,0.000872547,0.000872547
61,1394.88,1.03409,0.50269,0.81587,0.65629,0.55048,0.55484,0.2928,1.53756,1.82947,0.8818,0.000863116,0.000863116,0.000863116
62,1416.3,1.01937,0.49337,0.81315,0.72644,0.55913,0.62801,0.33875,1.5523,1.76115,0.88668,0.000853685,0.000853685,0.000853685
63,1437.77,1.01217,0.4941,0.81357,0.72511,0.5465,0.5843,0.30503,1.60118,1.58665,0.89459,0.000844253,0.000844253,0.000844253
64,1459.68,1.01741,0.48789,0.81235,0.75622,0.59037,0.67301,0.35625,1.5598,1.52224,0.88514,0.000834822,0.000834822,0.000834822
65,1481.53,1.00331,0.48751,0.81371,0.73986,0.56015,0.6602,0.35847,1.55047,1.55352,0.88129,0.00082539,0.00082539,0.00082539
66,1502.97,1.00328,0.4805,0.81609,0.71466,0.63974,0.69416,0.37162,1.53151,1.56757,0.88624,0.000815959,0.000815959,0.000815959
67,1524.65,1.00553,0.48051,0.81549,0.70321,0.6946,0.71928,0.36518,1.64371,1.49717,0.90429,0.000806528,0.000806528,0.000806528
68,1546.13,1.0054,0.48808,0.81373,0.68853,0.66307,0.6579,0.3467,1.56737,1.49569,0.89175,0.000797096,0.000797096,0.000797096
69,1567.78,1.00668,0.482,0.81237,0.73087,0.65883,0.67074,0.35184,1.58455,1.55661,0.8897,0.000787665,0.000787665,0.000787665
70,1589.57,0.98968,0.47565,0.811,0.68573,0.63016,0.65755,0.34124,1.65784,1.70185,0.908,0.000778233,0.000778233,0.000778233
71,1610.96,1.00027,0.47973,0.81494,0.75641,0.58987,0.6502,0.35238,1.55707,1.52069,0.88563,0.000768802,0.000768802,0.000768802
72,1632.57,0.99385,0.47373,0.81581,0.68651,0.6151,0.62394,0.32568,1.63029,1.79951,0.90088,0.000759371,0.000759371,0.000759371
73,1654.11,0.99562,0.46959,0.81494,0.70268,0.69516,0.69748,0.36479,1.54678,1.66408,0.89222,0.000749939,0.000749939,0.000749939
74,1675.49,1.00077,0.4798,0.81064,0.71093,0.63961,0.65127,0.33729,1.66577,1.87422,0.91154,0.000740508,0.000740508,0.000740508
75,1696.95,0.99292,0.47553,0.81128,0.74237,0.61452,0.64498,0.339,1.56159,1.62478,0.89357,0.000731076,0.000731076,0.000731076
76,1718.71,0.99818,0.47299,0.81065,0.74742,0.6891,0.70672,0.35627,1.66652,1.83784,0.91671,0.000721645,0.000721645,0.000721645
